predictor_key,predictor_title,value_column,unit,metric,lag_hours,pearson_r,p_value,ci_low,ci_high,n,direction,test_name,abs_r,predictor_metric
goes_xray_flux,GOES x-ray flux,flux,W/m²,pnn50,18,-0.4809457845755211,1.5692119555513066e-08,-0.6058841819000029,-0.3328548469174794,124,negative,Pearson r,0.4809457845755211,GOES x-ray flux — Flux
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,sdnn,21,-0.4730870884952012,2.8808791477847165e-08,-0.5994054235962389,-0.32377779591644346,124,negative,Pearson r,0.4730870884952012,RSTE solar radio flux — Frequency Mhz
solar_radio_multifrequency,RSTE solar radio flux,flux_sfu,sfu,sdnn,21,-0.47308708849520115,2.8808791477847165e-08,-0.5994054235962389,-0.32377779591644335,124,negative,Pearson r,0.47308708849520115,RSTE solar radio flux — Flux Sfu
goes_xray_flux,GOES x-ray flux,observed_flux,W/m²,pnn50,18,-0.4625850723985138,6.337532775130211e-08,-0.5907215810439358,-0.3116903800913445,124,negative,Pearson r,0.4625850723985138,GOES x-ray flux — Observed Flux
planetary_k_index_1m,Planetary K index (1m),estimated_kp,Kp,pnn50,-6,-0.46139219792714525,6.919734393074428e-08,-0.5897333434685174,-0.310320509278425,124,negative,Pearson r,0.46139219792714525,Planetary K index (1m) — Estimated Kp
goes_xray_flux,GOES x-ray flux,observed_flux,W/m²,pnn50,-6,0.460616707591564,7.325299513349607e-08,0.3094302896213906,0.5890906818125523,124,positive,Pearson r,0.460616707591564,GOES x-ray flux — Observed Flux
goes_xray_flux,GOES x-ray flux,flux,W/m²,pnn50,-6,0.46040144087165363,7.441850268768667e-08,0.30918322241351187,0.5889122579010103,124,positive,Pearson r,0.46040144087165363,GOES x-ray flux — Flux
solar_radio_multifrequency,RSTE solar radio flux,flux_sfu,sfu,pnn50,9,-0.4457873118730644,2.1195132199329785e-07,-0.5767699675788164,-0.29245780382019576,124,negative,Pearson r,0.4457873118730644,RSTE solar radio flux — Flux Sfu
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,pnn50,9,-0.4457873118730644,2.1195132199329785e-07,-0.5767699675788164,-0.29245780382019576,124,negative,Pearson r,0.4457873118730644,RSTE solar radio flux — Frequency Mhz
goes_xray_flux,GOES x-ray flux,observed_flux,W/m²,sdnn,18,-0.44437798479834634,2.3386184282723846e-07,-0.5755959467464813,-0.29084981681965283,124,negative,Pearson r,0.44437798479834634,GOES x-ray flux — Observed Flux
solar_radio_multifrequency,RSTE solar radio flux,frequency_mhz,MHz,pnn50,21,-0.4416177518643177,2.8319067562247943e-07,-0.5732950037845916,-0.2877030098974311,124,negative,Pearson r,0.4416177518643177,RSTE solar radio flux — Frequency Mhz
